файл	название	цена
catalog/compare.php.html	Сравнение товаров	
catalog/domashniy_tekstil/matrasy_vatnye.html	Матрасы ватные	
catalog/domashniy_tekstil/namatrasniki_1.html	Наматрасники	
catalog/domashniy_tekstil/odeyala/bambukovye_1.html	Бамбуковые	
catalog/domashniy_tekstil/odeyala/lebyazhiy_pukh_2.html	"Лебяжий пух"	
catalog/domashniy_tekstil/odeyala/pukhovye.html	Пуховые	
catalog/domashniy_tekstil/odeyala/sintepon_fayber.html	Синтепон/файбер	
catalog/domashniy_tekstil/odeyala.html	Одеяла	
catalog/domashniy_tekstil/pokryvala.html	Покрывала	
catalog/domashniy_tekstil.html	Домашний текстиль	
catalog/furnitura/bakhroma.html	Бахрома	85
catalog/furnitura/kanty_i_shnury.html	Канты и шнуры	45
catalog/furnitura/kosaya_beyka/elastichnaya_trikotazhnaya.html	Эластичная (трикотажная)	17
catalog/furnitura/kosaya_beyka/kh_b.html	Х/б	6.50
catalog/furnitura/kosaya_beyka.html	Косая бейка	6.50
catalog/furnitura/kruzhevo/shite.html	Кружево шитье	29
catalog/furnitura/kruzhevo/vyazanoe_na_koklyushkakh.html	Вязаное кружево на коклюшках	25
catalog/furnitura/kruzhevo.html	Кружево	25
catalog/furnitura/lenty_dekorativnye/georgievskie_trikolor.html	Георгиевские ленты, триколор	10
catalog/furnitura/lenty_dekorativnye/iz_meshkoviny.html	Ленты из мешковины	29
catalog/furnitura/lenty_dekorativnye/lenty_trikotazhnye_ribana.html	Ленты трикотажные (рибана)	29
catalog/furnitura/lenty_dekorativnye.html	Ленты декоративные	10
catalog/furnitura/lenty_tekhnicheskie/kipernye.html	Киперные	4.50
catalog/furnitura/lenty_tekhnicheskie/okantovochnye.html	Окантовочные	4
catalog/furnitura/lenty_tekhnicheskie/remennye_stropa.html	Ременные (стропа)	12
catalog/furnitura/lenty_tekhnicheskie.html	Ленты технические	16
catalog/furnitura/lipuchka_lenta_velkro_1/100_mm.html	100 мм	89
catalog/furnitura/lipuchka_lenta_velkro_1/20_mm.html	20 мм	26
